Date Saved,02/10/2017 13:53:18
Title,2017-10-02 Wan_001_02ﾟ_2830K

Measuring Mode,Ambient
Spectral Data 716[nm],0.009429826401
Spectral Data 717[nm],0.009448597208
Spectral Data 718[nm],0.009467886761
Spectral Data 719[nm],0.009487105533
Spectral Data 720[nm],0.009505731985
Spectral Data 721[nm],0.009523851797
Spectral Data 722[nm],0.009541856125
Spectral Data 723[nm],0.009560135193
Spectral Data 724[nm],0.009578936733
Spectral Data 725[nm],0.009598121047
Spectral Data 726[nm],0.009617485106
Spectral Data 727[nm],0.009636836126
Spectral Data 728[nm],0.009656163864
Spectral Data 729[nm],0.009675629437
Spectral Data 730[nm],0.009695402347
Spectral Data 731[nm],0.009715560824
Spectral Data 732[nm],0.009735685773
Spectral Data 733[nm],0.009755191393
Spectral Data 734[nm],0.009773495607
Spectral Data 735[nm],0.009790504351
Spectral Data 736[nm],0.009806989692
Spectral Data 737[nm],0.009823818691
Spectral Data 738[nm],0.009841784835
Spectral Data 739[nm],0.009860887192
Spectral Data 740[nm],0.009880593978
Spectral Data 741[nm],0.009900368750
Spectral Data 742[nm],0.009919751436
Spectral Data 743[nm],0.009938569739
Spectral Data 744[nm],0.009956711903
Spectral Data 745[nm],0.009974074550
Spectral Data 746[nm],0.009990767576
Spectral Data 747[nm],0.010007166304
Spectral Data 748[nm],0.010023661889
Spectral Data 749[nm],0.010040595196
Spectral Data 750[nm],0.010057932697
Spectral Data 751[nm],0.010075473227
Spectral Data 752[nm],0.010093012825
Spectral Data 753[nm],0.010110425763
Spectral Data 754[nm],0.010127762333
Spectral Data 755[nm],0.010145098902
Spectral Data 756[nm],0.010162506253
Spectral Data 757[nm],0.010179978795
Spectral Data 758[nm],0.010197444819
Spectral Data 759[nm],0.010214830749
Spectral Data 760[nm],0.010232107714
Spectral Data 761[nm],0.010249458253
Spectral Data 762[nm],0.010267131031
Spectral Data 763[nm],0.010285366327
Spectral Data 764[nm],0.010303995572
Spectral Data 765[nm],0.010322188959
Spectral Data 766[nm],0.010339058004
Spectral Data 767[nm],0.010353779420
Spectral Data 768[nm],0.010366223752
Spectral Data 769[nm],0.010376668535
Spectral Data 770[nm],0.010385398753
Spectral Data 771[nm],0.010393137112
Spectral Data 772[nm],0.010402003303
Spectral Data 773[nm],0.010414388031
Spectral Data 774[nm],0.010432546027
Spectral Data 775[nm],0.010454972275
Spectral Data 776[nm],0.010475986637
Spectral Data 777[nm],0.010489688255
Spectral Data 778[nm],0.010491486639
Spectral Data 779[nm],0.010485303588
Spectral Data 780[nm],0.010478467681
